Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ghana,NA,15.74111,NA,NA,22.37925,23.42996,24.16198,22.31702,24.0375,22.49513,20.69614,30.63431,37.52096,21.22221,20.98514,23.8088,22.09332,20.09764,18.59817,NA
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,6.95777,7.31652,7.47716,7.3604,7.70183,8.70021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,NA,NA,NA,10.80899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.04117,NA,NA
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,NA,NA,NA,NA,NA,NA,20.33845,21.27816,23.34816,NA,19.29692,20.24641,21.10514,20.63795,21.95939,24.0855,23.43475,23.08805,23.74954,NA
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,15.19597,10.31576,13.06432,11.62475,12.3133,10.94747,NA,NA,15.67826,13.5834,12.43832,14.25931,9.46061,14.13281,11.98951,11.59878,15.76886,13.37679,14.87012,NA
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.06924,10.19974,14.5398,16.19138,NA,NA,NA,NA,NA,NA
Guyana,17.65684,16.55556,16.90001,13.81456,11.08074,13.82344,13.48169,11.52616,NA,10.23917,11.83872,11.72072,10.1867,NA,18.73569,17.80268,18.71751,17.63573,15.99738,NA
Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.98415,14.56778,13.10692,15.3677,14.44035,NA
Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86407,25.65362,24.64456,NA,NA,22.95436,NA
Hungary,10.32361,10.45507,10.17915,11.82977,11.0059,10.80057,10.32771,10.33817,10.27056,9.86438,9.67102,9.29022,8.59944,8.51606,9.3679,9.12867,10.06791,NA,NA,NA
Iceland,15.73919,16.20941,17.08739,16.3759,16.80609,17.81014,17.92558,17.21786,13.03326,15.16024,14.60397,15.41712,17.33145,17.66942,17.54882,18.15799,16.83943,NA,NA,NA
India,16.73051,NA,NA,12.4108,11.19686,11.20846,11.69371,NA,NA,11.1912,11.83368,13.56491,13.99212,14.05018,NA,NA,NA,NA,NA,NA
Indonesia,NA,11.59389,14.36905,16.27818,14.1703,15.1488,NA,14.94431,13.67475,19.30844,16.65418,18.00613,18.09042,17.60393,17.67152,20.5033,NA,NA,NA,NA
Iran (Islamic Republic of),20.63385,24.42417,26.33352,21.65296,21.47405,22.32196,20.21824,19.87443,20.57943,18.02354,18.80435,19.1267,17.39562,21.67391,19.66486,18.56875,19.30131,20.04203,21.14568,NA
Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
