Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ghana,NA,284.58383,NA,NA,669.2628,796.51004,1073.51406,1366.65507,1642.56645,1381.35533,1782.67389,3221.08083,3321.2675,2915.24401,2407.66843,2218.54162,2468.19258,2134.49098,2615.33564,NA
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,4203.57262,4582.26891,5267.64478,6924.67604,8820.37955,9822.01221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,NA,NA,NA,21.21764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.72697,NA,NA
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,NA,NA,NA,NA,NA,NA,902.10323,1036.60746,1246.33262,NA,1158.74465,1391.58606,1490.42135,1530.58874,1727.25469,1884.4448,1945.10991,2113.8673,2296.59094,NA
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,77.6818,58.98963,76.5097,81.71569,81.02614,54.30818,NA,NA,110.11235,148.25904,174.84467,155.2047,140.05925,220.65795,212.68546,221.36206,218.9419,239.57588,282.71334,NA
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7993,20.40635,19.797,22.30133,NA,NA,NA,NA,NA,NA
Guyana,60.46378,59.80286,60.74485,51.68679,43.43172,67.14303,74.22432,65.3023,NA,68.08009,82.71232,92.53172,91.06692,NA,179.97948,166.7296,212.37888,221.49193,212.5976,NA
Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.41409,275.45724,195.36838,226.16823,268.54054,NA
Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1079.35238,1390.98026,1336.0756,NA,NA,1447.52304,NA
Hungary,2298.78035,2650.4193,3501.61888,4939.9639,5547.16002,6022.92101,6121.06089,7198.51497,7865.05053,6483.15192,6243.63308,6477.08599,5336.13521,5684.10917,6490.19819,5627.07581,5935.964,NA,NA,NA
Iceland,580.4798,552.22192,680.14231,828.0645,990.05545,1236.74504,1256.66761,1503.62145,1271.73422,945.78219,954.91301,1033.54503,1118.49375,1201.10552,1365.34142,1306.42756,1545.39034,NA,NA,NA
India,19843.03391,NA,NA,18606.84467,20373.36128,22613.00126,25783.34542,NA,NA,39302.80891,45324.7611,63609.40835,70506.50862,70266.65833,NA,NA,NA,NA,NA,NA
Indonesia,NA,3947.04158,5176.56634,7554.97222,7059.07391,8212.4803,NA,13157.7711,14806.32698,19020.88502,21235.32889,28480.73489,31276.20364,30652.04285,29290.04051,30849.57429,NA,NA,NA,NA
