Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Italy,421297,441168,440667,428177,417023,427646,426822,450757,NA,NA,NA,NA,NA,403878,NA,407866,456891,460896,NA,NA
Jamaica,12396,NA,11801,11315,12828,NA,NA,13006,NA,NA,18222,15486,14256,14150,13575,13099,11974,13173,12011,NA
Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631675,634117,638414,637889,NA,NA
Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,NA,NA,32332,34294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51313,NA,NA,66809,64416,NA
Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223704,252152,268245,264826,251053
Kenya,NA,68089,70432,74839,92691,90728,91207,89838,93709,95816,NA,NA,93171,NA,185361,198752,NA,NA,NA,NA
Kiribati,NA,449,562,572,622,677,635,653,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,22244,23311,NA,NA,25290,NA,NA,26100,27496,31206,NA,NA,NA,NA,NA,39804,42121,43838,45349,NA
Kyrgyzstan,49469,50064,51364,52655,53300,53754,53165,52614,52487,47637,48479,47441,52800,53305,52444,59575,66932,63240,63420,NA
Lao People's Democratic Republic,12402,12686,13296,13771,14257,15891,15987,17110,18117,18598,21498,24652,27686,31011,32757,34200,36260,37360,37354,NA
Latvia,24819,24386,24492,24767,24989,25124,25202,NA,18575,18396,16375,16380,15798,15242,14800,14661,14369,14189,NA,NA
Lebanon,NA,44486,47348,46721,43971,41801,41536,41747,42165,42492,42858,42387,NA,47439,47833,NA,50049,NA,NA,NA
Lesotho,3368,3455,3546,3636,3577,3495,3725,4006,4517,4962,5139,5282,5449,5405,5575,5571,5559,5386,NA,NA
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14974,12334,NA,17512,NA,NA
Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liechtenstein,NA,NA,NA,NA,NA,328,352,369,327,339,NA,309,NA,348,349,338,339,339,NA,NA
Lithuania,37654,37654,42594,NA,42030,42763,42303,41681,41142,40048,38800,37981,36649,36330,34339,33365,32633,31075,NA,NA
Luxembourg,3031,3125,3206,3279,3359,3493,3667,3755,3859,NA,5007,5008,5613,5815,5140,4977.73,5405,NA,NA,NA
Madagascar,NA,NA,NA,NA,NA,28818,30686,34130,35343,43539,NA,NA,50842,NA,64622,NA,NA,76549,80227,NA
Malawi,NA,NA,NA,NA,NA,NA,NA,14913,16535,NA,16011,17479,18336,20470,23468,25372,NA,NA,14396,NA
Malaysia,120002,125571,129836,141913,148824,153031,154407,166940,178379,186481,190581,193506,198044,207454,NA,NA,208866,223594,227412,NA
Maldives,1310,1884,1691,2088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mali,8899,NA,NA,NA,NA,NA,NA,22263,25990,29308,NA,33220,NA,45778,50882,49262,52033,58364,NA,NA
Malta,3371,3476,3450,3662,3567,3499,3392,3551,3550,NA,NA,3876,3728,3826,3841,3775.6591,3991,4324.8,NA,NA
Marshall Islands,NA,NA,381,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,2492,2911,3000,3237,3126,2995,3777,NA,NA,NA,NA,NA,NA,NA,5408,5591,7582,8612,9136,NA
Mauritius,5436,5607,5933,6371,6974,7433,7761,8124,8053,8186,8323,8507,8643,9845,10026,10020,NA,9901,11141,NA
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,537386,554425,571377,594388,579714,593451,610387,620808,635518,650513,652140,669583,684249,694325,805868,837775,841700,832536,NA,NA
Micronesia (Federated States of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monaco,NA,276,NA,NA,277,NA,NA,NA,519,NA,NA,NA,NA,NA,NA,406,NA,401,NA,NA
Mongolia,11341,11910,12910,14536,14662,15141,16207,NA,NA,NA,19043,NA,NA,NA,20908,20875,21753,21709,21234,NA
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montserrat,26,23,33,NA,NA,26,27,29,NA,27,NA,NA,NA,NA,27,NA,33,36,36,NA
Morocco,90799,NA,NA,97146,100367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140474,147805,NA
Mozambique,NA,NA,NA,NA,NA,9509,10278,12064,13952,16053,19690,21553,22008,24317,25618,27040,31000,33281,NA,NA
Myanmar,71155,74696,76150,73062,77004,78144,79837,81943,82001,82204,83703,NA,NA,NA,100346,NA,155858,150309,153660,NA
Namibia,5164,5384,5513,5592,6430,5896,6024,6423,NA,NA,NA,NA,NA,NA,NA,NA,NA,11343,NA,NA
Nauru,38,34,25,34,38,39,24,33,NA,NA,NA,NA,NA,NA,45,NA,40,NA,NA,NA
Nepal,44620,45373,NA,52528,NA,NA,NA,NA,56799,64529,84268,95966,102685,106620,109705,111171,113385,115759,NA,122582
Netherlands,NA,NA,103788,108149,109661,107410,106952,108440,110793,109140,107433,113370,111870,110183,107839.31,111562.16,111849.22,113686.43,NA,NA
Netherlands Antilles,1108,1141,1182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,28546,30341,NA,35507,38188,35766,35509,36009,35504,37942,35322,35381,34920,NA,35210.16,35276.69,35054.37326,35684.41051,NA,NA
Nicaragua,10413,10620,11300,NA,12843,12980,13657,15126,16164,NA,15089,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,4537,4589,4165,4406,5131,6633,7358,NA,NA,NA,9945,9873,NA,16406,20509,21296,26839,26456,29225,NA
Nigeria,132884,140631,162960,180278,154594,159283,202082,213366,308311,NA,390427,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niue,33,21,29,NA,25,25,NA,NA,NA,NA,NA,NA,NA,NA,22,23,NA,NA,NA,NA
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Macedonia,13833,13571,13630,14005,14260,14550,14727,15185,15577,16110,16537,17268,17742,17978,17861,17924,18056,18435,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51336.72,50972.48,52178.24,NA,NA
Oman,13528,14422,15230,16077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29653,41340,NA
Pakistan,NA,NA,NA,237224,246570,294716,NA,NA,NA,NA,NA,NA,444439,483738,527388,571685,590003,646318,654895,NA
Palau,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestine,16829,18939,21158,22271,22776,24668,24605,27952,29246,30630,31586,34423,34955,35564,35968,36168,37333,37466,44132,NA
Panama,14404,15181,15613,NA,16109,16392,16317,16847,17337,18750,18501,19463,NA,20001,22946,23777,23777,23777,NA,NA
Papua New Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13804,NA,NA,NA,14791,NA,NA,NA
Paraguay,38647,38698,43835,43163,44440,NA,NA,NA,NA,NA,NA,NA,34286,NA,NA,NA,NA,NA,NA,NA
Peru,116624,122309,134279,145032,147033,147654,156648,158890,160669,160902,167262,160018,155868,176662,188070,190307,191963,190361,195767,NA
Philippines,NA,148033,151750,163646,168058,167749,169075,181193,NA,194373,NA,NA,NA,NA,267515,279052,314482,377174,NA,NA
Pitcairn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,NA,300973,NA,275967,NA,296029,289324,287425,279408,276969,273368,305993,301481,291374,279213,273481,267777,264616,NA,NA
Portugal,84869,83651,89586,87302,85858,93803,93727,92965,95296,97491,98089,96447,89901,81749,77685,78418,79425,80914,NA,NA
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26161,22900,19639,20896,15437,14749,13753,NA,NA,NA
Qatar,NA,4516,4909,5111,5356,4814,6200,NA,6818,6923,6938,7184,7899,8169,8698,8941,9582,9893,9738,NA
Republic of Korea,188327,189273,200805,206163,207878,209676,214228,216947,219288,221689,224503,239292,237375,238301,239996,235768,233461,231582,NA,NA
Republic of Moldova,31240,30545,31307,31004,31335,30920,30771,30376,30195,29186,29299,29237,28662,27142,26213,24968,24599,22931,22942,NA
Réunion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,173359,171206,176247,164613,157682,161551,156816,153805,151981,150267,146017,137170,134412,130244,131171,129210,125023,124376,NA,NA
Russian Federation,NA,NA,NA,NA,NA,1306099,1284226,1250773,1183126,1135634,NA,NA,1045810,NA,NA,NA,NA,NA,NA,NA
Rwanda,5557,5453,6329,7058,7750,7610,7818,12103,NA,15329,NA,20522,23335,25532,27116,29558,30805,30415,23304,NA
Saint Helena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,330,376,423,417,421,397,NA,447,417,441,465,468,448,386,515,519,527,NA,NA,NA
Saint Lucia,705,734,710,794,814,803,845,907,979,1002,1020,1019,1027,1154,1063,1126,1077,1070,1058,NA
Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Vincent and the Grenadines,406,405,421,437,575,NA,NA,569,598,886,680,650,680,706,670,685,706,704,707,NA
Saint-Barthélemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint-Martin (French part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samoa,1024,1064,1074,NA,NA,NA,NA,1166,NA,1206,1211,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Marino,NA,NA,NA,NA,NA,NA,NA,NA,152,167,161,NA,NA,NA,NA,NA,NA,NA,283,NA
Sao Tome and Principe,NA,NA,NA,NA,342,373,NA,NA,NA,NA,NA,601,NA,NA,793,1066,936,NA,NA,NA
Saudi Arabia,NA,NA,NA,NA,NA,234358,NA,NA,NA,264141,NA,NA,NA,315863,311944,323406,301421,272675,269616,NA
Senegal,9125,10391,10699,NA,13654,15394,NA,NA,NA,NA,NA,31525,38068,39337,43661,55786,56844,57316,NA,NA
Serbia,NA,NA,NA,NA,NA,NA,NA,56889,59125,60202,61541,61702,62374,61917,63360,65494,66286,66600,67217,NA
Seychelles,568,525,593,595,590,589,590,588,547,596,592,603,605,595,550,617,638,635,692,NA
Sierra Leone,NA,5840,NA,NA,NA,NA,NA,NA,NA,NA,NA,17194,18482,20196,NA,21874,22129,NA,NA,NA
Singapore,NA,NA,NA,NA,NA,NA,NA,13061,13471,14363,NA,NA,NA,NA,NA,NA,15384,14929,NA,NA
Sint Maarten (Dutch part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,NA,358,NA,NA,NA,NA,NA
Slovakia,54904,52159,52626,51817,52192,50526,49896,48162,46989,45956,45689,45438,44935,42882,41839,40712,40403,39894,NA,NA
